recording,zone ID,total_mites,dead,alive,Survival %
1,alive,19,17,2,10.526315789473683
1,dead,11,11,0,0.0
2,alive,19,15,4,21.052631578947366
2,dead,11,11,0,0.0
3,alive,19,16,3,15.789473684210526
3,dead,11,11,0,0.0
4,alive,19,13,6,31.57894736842105
4,dead,11,11,0,0.0
5,alive,19,16,3,15.789473684210526
5,dead,11,11,0,0.0
6,alive,19,16,3,15.789473684210526
6,dead,11,11,0,0.0
7,alive,19,14,5,26.31578947368421
7,dead,11,11,0,0.0
8,alive,19,14,5,26.31578947368421
8,dead,11,11,0,0.0
9,alive,19,15,4,21.052631578947366
9,dead,11,11,0,0.0
10,alive,19,15,4,21.052631578947366
10,dead,11,11,0,0.0
11,alive,19,15,4,21.052631578947366
11,dead,11,11,0,0.0
12,alive,19,15,4,21.052631578947366
12,dead,11,11,0,0.0
