epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.5142,2.7718,1.96699,0.90016,0.95187,0.91955,0.96,0.46165,1.77189,0.74635,0.82454,0.000664903,0.000664903,0.000664903
2,81.5934,1.97157,1.00218,0.79284,0.89728,0.85361,0.9219,0.41838,1.92438,0.79203,0.82137,0.00131274,0.00131274,0.00131274
3,122.544,2.13144,0.92422,0.80422,0.84749,0.87053,0.92314,0.46174,1.73998,0.78616,0.82513,0.00194171,0.00194171,0.00194171
4,164.418,2.13828,0.83771,0.80992,0.89016,0.94087,0.95642,0.47694,1.66448,0.62075,0.81186,0.00191514,0.00191514,0.00191514
5,204.265,1.95168,0.78143,0.80047,0.91121,0.9284,0.95367,0.50452,1.63292,0.60841,0.81663,0.00188686,0.00188686,0.00188686
6,244.583,1.80119,0.71777,0.79582,0.93527,0.95249,0.97354,0.55425,1.45685,0.56843,0.81501,0.00185857,0.00185857,0.00185857
7,284.614,1.87331,0.79045,0.78534,0.92551,0.94408,0.9659,0.56088,1.44434,0.58045,0.81309,0.00183029,0.00183029,0.00183029
8,324.202,1.73122,0.71052,0.78657,0.88382,0.94026,0.96008,0.57236,1.38682,0.57303,0.81132,0.001802,0.001802,0.001802
9,362.617,1.72209,0.68113,0.78687,0.93618,0.95847,0.97075,0.48672,1.69345,0.61345,0.81394,0.00177371,0.00177371,0.00177371
10,401.328,1.68188,0.67988,0.78024,0.95687,0.92827,0.97008,0.50367,1.65882,0.70645,0.81699,0.00174543,0.00174543,0.00174543
11,444.896,1.59509,0.65597,0.77796,0.94576,0.95735,0.97352,0.56869,1.40714,0.573,0.81031,0.00171714,0.00171714,0.00171714
12,488.103,1.5944,0.63969,0.77524,0.943,0.95876,0.97372,0.57155,1.41036,0.55886,0.81038,0.00168886,0.00168886,0.00168886
13,532.399,1.69329,0.66386,0.78447,0.94779,0.96687,0.97975,0.53702,1.56131,0.56056,0.80931,0.00166057,0.00166057,0.00166057
14,573.968,1.79293,0.69499,0.79405,0.94081,0.9195,0.97586,0.5749,1.42425,0.54332,0.80941,0.00163229,0.00163229,0.00163229
15,616.805,1.6666,0.66262,0.78674,0.95419,0.96012,0.97788,0.59803,1.33016,0.52568,0.80747,0.001604,0.001604,0.001604
16,660.902,1.60738,0.62861,0.79366,0.92874,0.94752,0.97161,0.58072,1.37495,0.54488,0.81065,0.00157571,0.00157571,0.00157571
17,705.836,1.55411,0.6251,0.78607,0.95867,0.96545,0.98369,0.58151,1.40495,0.52923,0.80673,0.00154743,0.00154743,0.00154743
18,747.157,1.49086,0.63122,0.77286,0.93888,0.95863,0.97438,0.59468,1.35679,0.54566,0.80472,0.00151914,0.00151914,0.00151914
19,786.95,1.53064,0.65352,0.77674,0.96719,0.96769,0.98428,0.59395,1.34928,0.52765,0.80441,0.00149086,0.00149086,0.00149086
20,826.855,1.55023,0.64708,0.78746,0.94344,0.9534,0.9724,0.5772,1.40511,0.54142,0.80412,0.00146257,0.00146257,0.00146257
21,867.668,1.47769,0.60015,0.7792,0.95271,0.96039,0.97842,0.60482,1.31865,0.51563,0.80466,0.00143429,0.00143429,0.00143429
22,906.991,1.47618,0.58374,0.7808,0.95738,0.96677,0.97897,0.60446,1.32212,0.52902,0.80371,0.001406,0.001406,0.001406
23,946.264,1.4763,0.67926,0.78103,0.96711,0.96404,0.98262,0.57486,1.3869,0.62023,0.80346,0.00137771,0.00137771,0.00137771
24,986.254,1.45056,0.6677,0.78551,0.93783,0.95512,0.97334,0.6091,1.30755,0.52128,0.8021,0.00134943,0.00134943,0.00134943
25,1030.09,1.48999,0.62689,0.7759,0.961,0.97365,0.98202,0.57475,1.39364,0.54711,0.7999,0.00132114,0.00132114,0.00132114
26,1070.7,1.50816,0.6788,0.76825,0.96419,0.95186,0.97936,0.5526,1.48445,0.62356,0.80405,0.00129286,0.00129286,0.00129286
27,1111.62,1.47968,0.64011,0.78088,0.95452,0.96485,0.98097,0.58925,1.36261,0.53984,0.80378,0.00126457,0.00126457,0.00126457
28,1152.23,1.46748,0.5966,0.78127,0.95195,0.9755,0.9828,0.60996,1.32508,0.50987,0.80205,0.00123629,0.00123629,0.00123629
29,1192.92,1.41698,0.57671,0.77734,0.96055,0.96768,0.9828,0.60208,1.3267,0.50675,0.80053,0.001208,0.001208,0.001208
30,1232.42,1.41871,0.5706,0.77871,0.95701,0.97011,0.98017,0.60483,1.31,0.50881,0.79903,0.00117971,0.00117971,0.00117971
31,1272.89,1.4575,0.5864,0.77656,0.95825,0.97424,0.98459,0.59825,1.34852,0.51095,0.79945,0.00115143,0.00115143,0.00115143
32,1312.88,1.47502,0.56324,0.78007,0.96249,0.97234,0.98319,0.60561,1.32596,0.51279,0.79971,0.00112314,0.00112314,0.00112314
33,1353.92,1.46386,0.57368,0.77925,0.96651,0.97315,0.98511,0.59249,1.3456,0.51244,0.80147,0.00109486,0.00109486,0.00109486
34,1395.32,1.44002,0.56232,0.77414,0.95932,0.97082,0.97962,0.60874,1.30245,0.50587,0.80198,0.00106657,0.00106657,0.00106657
